circRNA	Position	Function	Gene	Gene Description	PMID
chr5:21491429-21497305	chr5:21491429-21497305	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr5:33881224-33881585	chr5:33881224-33881585	Cardiac development [differential expression (during cardiac development)]	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	28676412
chr5:43122141-43139411	chr5:43122141-43139411	Cardiac development [differential expression (during cardiac development)]	ZNF131	zinc finger protein 131	28676412
chr5:64747302-64769779	chr5:64747302-64769779	Cardiac development [differential expression (during cardiac development)]	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	28676412
chr5:65349233-65350779	chr5:65349233-65350779	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	ERBIN	erbb2 interacting protein	27986464
chr5:65349234-65350779	chr5:65349234-65350779	Cardiac development [differential expression (during cardiac development)]	ERBIN	erbb2 interacting protein	28676412
chr5:68470704-68471364	chr5:68470704-68471364	Cardiac development [differential expression (during cardiac development)]	CCNB1	cyclin B1	28676412
chr5:71146746-71146877	chr5:71146746-71146877	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr5:74130251-74137504	chr5:74130251-74137504	Cardiac development [differential expression (during cardiac development)]	FAM169A	family with sequence similarity 169 member A	28676412
chr5:78975401-78977884	chr5:78975401-78977884	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	PAPD4	poly(A) RNA polymerase D4, non-canonical	27986464
chr5:82815168-82818128	chr5:82815168-82818128	Cardiac development [differential expression (during cardiac development)]	VCAN	versican	28676412
chr6:107824861-107827631	chr6:107824861-107827631	Cardiac development [differential expression (during cardiac development)]	SOBP	sine oculis binding protein homolog	28676412
chr6:107824861-107854814	chr6:107824861-107854814	Cardiac development [differential expression (during cardiac development)]	SOBP	sine oculis binding protein homolog	28676412
chr6:128643183-128643455	chr6:128643183-128643455	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	PTPRK	protein tyrosine phosphatase, receptor type K	27986464
chr6:13632602-13644961	chr6:13632602-13644961	Hypertrophic cardiomyopathy [differential expression (hypertrophic cardiomyopathy vs. control samples)]; cardiac development [differential expression (during cardiac development)]	RANBP9	RAN binding protein 9	27531932;28676412
chr6:161443042-161455481	chr6:161443042-161455481	Cardiac development [differential expression (during cardiac development)]	MAP3K4	mitogen-activated protein kinase kinase kinase 4	28676412
chr6:161455291-161471011	chr6:161455291-161471011	Cardiac development [differential expression (during cardiac development)]	MAP3K4	mitogen-activated protein kinase kinase kinase 4	28676412
chr6:31239009-31324103	chr6:31239009-31324103	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr6:31831331-31837414	chr6:31831331-31837414	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr6:32522466-32548633	chr6:32522466-32548633	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr6:32629743-32725660	chr6:32629743-32725660	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr6:45399599-45405788	chr6:45399599-45405788	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	RUNX2	runt related transcription factor 2	27986464
chr6:99887645-99913012	chr6:99887645-99913012	Cardiac development [differential expression (during cardiac development)]	USP45	ubiquitin specific peptidase 45	28676412
chr7:128655033-128658211	chr7:128655033-128658211	Cardiac development [differential expression (during cardiac development)]	TNPO3	transportin 3	28676412
chr7:131060182-131084192	chr7:131060182-131084192	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	MKLN1	muskelin 1	27986464
chr7:138189035-138223548	chr7:138189035-138223548	Cardiac development [differential expression (during cardiac development)]	TRIM24	tripartite motif containing 24	28676412
chr7:139754462-139757834	chr7:139754462-139757834	Cardiac development [differential expression (during cardiac development)]	PARP12	poly(ADP-ribose) polymerase family member 12	28676412
chr7:152027685-152055760	chr7:152027685-152055760	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	KMT2C	lysine methyltransferase 2C	27986464
chr7:155457868-155473602	chr7:155457868-155473602	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	RBM33	RNA binding motif protein 33	27986464
chr7:155465561-155473602	chr7:155465561-155473602	Cardiac development [differential expression (during cardiac development)]	RBM33	RNA binding motif protein 33	28676412
chr7:158580695-158591763	chr7:158580695-158591763	Cardiac development [differential expression (during cardiac development)]	ESYT2	extended synaptotagmin 2	28676412
chr7:16298015-16317851	chr7:16298015-16317851	Cardiac development [differential expression (during cardiac development)]	ISPD	isoprenoid synthase domain containing	28676412
chr7:24659671-24708279	chr7:24659671-24708279	Cardiac development [differential expression (during cardiac development)]	MPP6	membrane palmitoylated protein 6	28676412
chr7:24663282-24708279	chr7:24663282-24708279	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]; photoaging [differential expression (Ultraviolet A irradiated vs. no irradiated human dermal fibroblasts)]; cardiac development [differential expression (during cardiac development)]	MPP6	membrane palmitoylated protein 6	27986464;28286269;28676412
chr7:24663285-24690331	chr7:24663285-24690331	Cardiac development [differential expression (during cardiac development)]	MPP6	membrane palmitoylated protein 6	28676412
chr7:24663285-24720139	chr7:24663285-24720139	Cardiac development [differential expression (during cardiac development)]	MPP6	membrane palmitoylated protein 6	28676412
chr7:26232870-26232993	chr7:26232870-26232993	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr7:40027197-40041630	chr7:40027197-40041630	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	CDK13	cyclin dependent kinase 13	27986464
chr7:80418622-80440017	chr7:80418622-80440017	Cardiac development [differential expression (during cardiac development)]	SEMA3C	semaphorin 3C	28676412
chr7:87020904-87022383	chr7:87020904-87022383	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr7:90233532-90252857	chr7:90233532-90252857	Cardiac development [differential expression (during cardiac development)]	CDK14	cyclin dependent kinase 14	28676412
chr7:90355881-90419967	chr7:90355881-90419967	Cardiac development [differential expression (during cardiac development)]	CDK14	cyclin dependent kinase 14	28676412
chr7:91924202-91936970	chr7:91924202-91936970	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	ANKIB1	ankyrin repeat and IBR domain containing 1	27986464
chr7:91924203-91957214	chr7:91924203-91957214	Papillary thyroid carcinoma [differential expression (papillary thyroid carcinoma tissues vs. normal thyroid tissues)]	-	-	29847813
chr7:94037495-94037548	chr7:94037495-94037548	Photoaging [differential expression (Ultraviolet A irradiated vs. no irradiated human dermal fibroblasts)]	COL1A2	collagen type I alpha 2 chain	28286269
chr7:94039549-94040416	chr7:94039549-94040416	Photoaging [differential expression (Ultraviolet A irradiated vs. no irradiated human dermal fibroblasts)]	COL1A2	collagen type I alpha 2 chain	28286269
chr7:94040201-94040254	chr7:94040201-94040254	Photoaging [differential expression (Ultraviolet A irradiated vs. no irradiated human dermal fibroblasts)]	COL1A2	collagen type I alpha 2 chain	28286269
chr7:94048810-94049756	chr7:94048810-94049756	Photoaging [differential expression (Ultraviolet A irradiated vs. no irradiated human dermal fibroblasts)]	COL1A2	collagen type I alpha 2 chain	28286269
chr7:94055108-94055842	chr7:94055108-94055842	Photoaging [differential expression (Ultraviolet A irradiated vs. no irradiated human dermal fibroblasts)]	COL1A2	collagen type I alpha 2 chain	28286269
chr7:99621041-99621930	chr7:99621041-99621930	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr7:99952765-99953427	chr7:99952765-99953427	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	-	-	27986464
chr8:141745350-141762415	chr8:141745350-141762415	Cardiac development [differential expression (during cardiac development)]	PTK2	protein tyrosine kinase 2	28676412
chr8:141749117-141762415	chr8:141749117-141762415	Cardiac development [differential expression (during cardiac development)]	PTK2	protein tyrosine kinase 2	28676412
chr8:141856358-141900868	chr8:141856358-141900868	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	PTK2	protein tyrosine kinase 2	27986464
chr8:142264088-142264728	chr8:142264088-142264728	Cardiac development [differential expression (during cardiac development)]	SLC45A4	solute carrier family 45 member 4	28676412
chr8:145218674-145448187	chr8:145218674-145448187	Photoaging [differential expression (Ultraviolet A irradiated vs. no irradiated human dermal fibroblasts)]	-	-	28286269
chr8:17739507-17743080	chr8:17739507-17743080	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr8:18656805-18662408	chr8:18656805-18662408	Cardiac development [differential expression (during cardiac development)]	PSD3	pleckstrin and Sec7 domain containing 3	28676412
chr8:27151597-27151827	chr8:27151597-27151827	Cardiac development [differential expression (during cardiac development)]	TRIM35	tripartite motif containing 35	28676412
chr8:42761315-42798588	chr8:42761315-42798588	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	HOOK3	hook microtubule tethering protein 3	27986464
chr8:68018140-68028357	chr8:68018140-68028357	Cardiac development [differential expression (during cardiac development)]	CSPP1	centrosome and spindle pole associated protein 1	28676412
chr9:111812562-111826847	chr9:111812562-111826847	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	TMEM245	transmembrane protein 245	27986464
chr9:111819471-111826847	chr9:111819471-111826847	Cardiac development [differential expression (during cardiac development)]	TMEM245	transmembrane protein 245	28676412
chr9:114148657-114154104	chr9:114148657-114154104	Cardiac development [differential expression (during cardiac development)]	KIAA0368	KIAA0368	28676412
chr9:133364719-133364851	chr9:133364719-133364851	Hepatocellular carcinoma [differential expression (normal vs. hepatocellular carcinoma samples)]	-	-	28346469
chr9:134312007-134314448	chr9:134312007-134314448	Cardiac development [differential expression (during cardiac development)]	PRRC2B	proline rich coiled-coil 2B	28676412
chr9:138741982-138742307	chr9:138741982-138742307	Gastric cancer [differential expression (gastric cancer tissues vs. normal tissues)]	CAMSAP1	calmodulin regulated spectrin associated protein 1	27986464
chr9:138773479-138774924	chr9:138773479-138774924	Cardiac development [differential expression (during cardiac development)]	CAMSAP1	calmodulin regulated spectrin associated protein 1	28676412
chr9:16727795-16738483	chr9:16727795-16738483	Cardiac development [differential expression (during cardiac development)]	BNC2	basonuclin 2	28676412
chr9:33941647-33948585	chr9:33941647-33948585	IMP3-associated circRNA	UBAP2	ubiquitin associated protein 2	27510448
chr9:33948372-33953472	chr9:33948372-33953472	IMP3-associated circRNA	UBAP2	ubiquitin associated protein 2	27510448
chr9:33948372-33956144	chr9:33948372-33956144	IMP3-associated circRNA	UBAP2	ubiquitin associated protein 2	27510448
chr9:33953283-33963789	chr9:33953283-33963789	Cardiac development [differential expression (during cardiac development)]	UBAP2	ubiquitin associated protein 2	28676412
chr9:74522734-74523039	chr9:74522734-74523039	Bladder cancer [differential expression (bladder tumors vs. adjacent normal tissues)]	-	-	29558461
