circRNA Name	Region	Strand	Gene Symbol	CircBase Link	Disease Name	Expression Pattern	Experimental Techniques	Species	Brief description	Year	PMID	
chr8:71336875|71337745	chr8:71336875|71337745	N/A	N/A	N/A	Cardiovascular disease	Upregulated	"Immunofluorescence staining, qRT-PCR etc."	Rat	"chr5:90817794|90827570, chr8:71336875|71337745, and chr6:22033342|22038870 were significantly up-regulated in TGF-汕1-treated rat CAEC. "	2018/3/1	29521313	
chr6:22033342|22038870	chr6:22033342|22038870	N/A	N/A	N/A	Cardiovascular disease	Upregulated	"Immunofluorescence staining, qRT-PCR etc."	Rat	"chr5:90817794|90827570, chr8:71336875|71337745, and chr6:22033342|22038870 were significantly up-regulated in TGF-汕1-treated rat CAEC. "	2018/3/1	29521313	
chr11:34060062|34073206	chr11:34060062|34073206	N/A	N/A	N/A	Cardiovascular disease	Downregulated	"Immunofluorescence staining, qRT-PCR etc."	Rat	Unclear	2018/3/1	29521313	
circRNA-000911	N/A	N/A	N/A	N/A	Breast cancer	Downregulated	"qRT-PCR, Dual-luciferase reporter assay, FACS apoptosis assay, Colony formation assays, Western blot etc."	Human	"Gain- and loss-of-function assays indicated that miR?449a antagonized circRNA-000911 to regulate breast cancer progression. Subsequently, Notch1 was identified as the functional target of miR?449a, and the overexpression of circRNA-000911 in breast cancer elevated Notch1 expression. Furthermore, Cignal Signal Transduction Reporter Array and western blot analysis identified nuclear factor-百B (NF-百B) signaling as a functional target of the circRNA-000911/miR?449a pathway. On the whole, our findings indicate that circRNA-000911 plays an anti-oncogenic role in breast cancer and may thus serve as a promising therapeutic target for patients with breast cancer. "	2018/3/1	29431182	
circRNA-001283	N/A	N/A	N/A	N/A	Breast cancer	Downregulated	qRT-PCR etc.	Human	Unclear	2018/3/1	29431182	
circRNA-001175	N/A	N/A	N/A	N/A	Breast cancer	Upregulated	qRT-PCR etc.	Human	Unclear	2018/3/1	29431182	
circRNA-100438	N/A	N/A	N/A	N/A	Breast cancer	Upregulated	qRT-PCR etc.	Human	Unclear	2018/3/1	29431182	
circC3P1	N/A	N/A	C3P1	N/A	Hepatocellular carcinoma	Downregulated	"qRT-PCR, Luciferase reporter assay etc."	Human	circC3P1 acts as a tumor suppressor via enhancing PCK1 expression by sponging miR-4641 in HCC.	2018/3/1	29608893	
circPRKCI/hsa_circ_0067934	chr3:170013698-170015181	+	PRKCI	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0067934	Lung adenocarcinoma	Upregulated	"qRT-PCR, RNA immunoprecipitation, 0 Luciferase reporter assays, Western blot etc."	Human	"circPRKCI functioned as a sponge for both miR-545 and miR-589 and abrogated their suppression of the pro-tumorigenic transcription factor E2F7. Intra-tumor injection of cholesterol-conjugated siRNA specifically targeting circPRKCI inhibited tumor growth in a patient-derived LAC xenograft model. In summary, circPRKCI is crucial for tumorigenesis and may serve as a potential therapeutic target in LAC patients."	2018/3/1	29588350	
hsa_circ_0087537	chr9:96233422-96320292	+	FAM120A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0087537	Facet joint osteoarthritis	Upregulated	qRT-PCR etc.	Human	Unclear	2018/3/1	29470979	
hsa_circ_0072668	chr5:64510224-64769779	-	ADAMTS6	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0072668	Facet joint osteoarthritis	Upregulated	qRT-PCR etc.	Human	Unclear	2018/3/1	29470979	
hsa_circ_0071896	chr5:14286979-14378236	+	TRIO	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0071896	Facet joint osteoarthritis	Upregulated	qRT-PCR etc.	Human	Unclear	2018/3/1	29470979	
hsa_circ_0063781	chr22:46594238-46594488	+	PPARA	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0063781	Facet joint osteoarthritis	Upregulated	qRT-PCR etc.	Human	Unclear	2018/3/1	29470979	
hsa_circ_0053743	chr2:32702435-32718734	+	BIRC6	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0053743	Facet joint osteoarthritis	Upregulated	qRT-PCR etc.	Human	Unclear	2018/3/1	29470979	
hsa_circ_0029067	chr12:122819194-122826244	-	CLIP1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0029067	Facet joint osteoarthritis	Downregulated	qRT-PCR etc.	Human	Unclear	2018/3/1	29470979	
hsa_circ_0005127	chr11:114314577-114320888	+	REXO2	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0005127	Facet joint osteoarthritis	Downregulated	qRT-PCR etc.	Human	Unclear	2018/3/1	29470979	
circ-SHKBP1	N/A	N/A	SHKBP1	N/A	Glioma	Upregulated	"qRT-PCR, Dual-luciferase reporter assay  etc."	Human	"circ-SHKBP1 regulated the angiogenesis of GECs through miR-544a/FOXP1 and miR-379/FOXP2 pathways, and these findings might provide a potential target and effective strategy for combined therapy of gliomas."	2018/3/1	29499945	
circ-FBXW7	N/A	N/A	FBXW7	N/A	Glioma	Downregulated	"qPCR, FISH, Northern blot etc."	Human	"Upregulation of FBXW7-185aa in cancer cells inhibited proliferation and cell cycle acceleration, while knockdown of FBXW7-185aa promoted malignant phenotypes invitro and invivo. FBXW7-185aa reduced the half-life of c-Myc by antagonizing USP28-induced c-Myc stabilization. Moreover, circ-FBXW7 and FBXW7-185aa levels were reduced in glioblastoma clinical samples compared with their paired tumor-adjacent tissues (P < .001). "	2018/3/1	28903484	
circRNA_Atp9b/circ_15898	chr18:80795290|80877373	-	Atp9b	N/A	Osteoarthritis	Upregulated	"qPCR, Western blot, RNA transfection, Dual-luciferase assay etc."	Mouse	"circRNA_Atp9b expression was significantly up-regulated in mouse chondrocytes after stimulation with interleukin-1 beta (IL-1汕), and that knockdown of circRNA_Atp9b promoted the expression of type II collagen while inhibiting the generation of MMP13, COX-2 and IL-6. Moreover, circRNA_Atp9b regulates OA progression by modulating ECM catabolism and inflammation in chondrocytes via sponging miR-138-5p. Our findings provide novel insight into the regulatory mechanism of circRNA_Atp9b in OA"	2018/3/1	29305974	
hsa_circ_0046701	chr18:745707-751804	-	YES1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0046701	Glioma	Upregulated	"qPCR, Luciferase reporter assay etc."	Human	"hsa_circ_0046701 was significantly upregulated in glioma tissues and cell lines, and knockdown of hsa_circ_0046701 inhibited cell proliferation and invasion. Luciferase reporter assays indicated that hsa_circ_0046701 functions as a sponge for miR-142-3p and regulates the expression of ITGB8. Subsequently, functional assays revealed that silencing of hsa_circ_0046701 could upregulate miR-142-3p, resulting in downregulation of ITGB8. "	2018/3/1	29337055	
hsa_circ_0001649	chr6:146209155-146216113	-	SHPRH	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001649	Glioma	Downregulated	"qPCR, ISH, Northern blot etc."	Human	"Both circ-SHPRH and SHPRH-146aa are abundantly expressed in normal human brains and are down-regulated in glioblastoma. The overexpression of SHPRH-146aa in U251 and U373 glioblastoma cells reduces their malignant behavior and tumorigenicity in vitro and in vivo. Mechanistically, SHPRH-146aa protects full-length SHPRH from degradation by the ubiquitin proteasome. Stabilized SHPRH sequentially ubiquitinates proliferating cell nuclear antigen (PCNA) as an E3 ligase, leading to inhibited cell proliferation and tumorigenicity. "	2018/3/1	29343848	
CircDOCK1/hsa_circ_100721	chr10	N/A	DOCK1	N/A	Oral squamous cell carcinoma	Downregulated	qPCR etc.	Human	The presence of circDOCK1 with qRT?PCR and circRNA sequencing.The knockdown of the expression of circDOCK1 led to the increase of apoptosis.Both the silencing of circDOCK1 with small interfering RNA and the upregulation of the expression of miR?196a?5p with mimics led OSCC cells to increase apoptosis and decrease BIRC3 formation. 	2018/3/1	29286141	
hsa_circ_0003159	chr7:81689743-81746489	-	CACNA2D1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0003159	Gastric cancer	Downregulated	qPCR etc.	Human	"hsa_circ_0003159 expression levels were significantly negatively associated with gender, distal metastasis, and tumor-node-metastasis stage"	2018/3/1	28618205	
hsa_circRNA_001937	N/A	N/A	CHD9	N/A	Tuberculosis	Upregulated	qRT-PCR etc.	Human	"Hsa_circRNA_001937 was significantly increased in patients with TB compared with patients with pneumonia, COPD and lung cancer. Hsa_ circRNA_001937 was correlated with TB severity (r = 0.4053, P = 0.010) and its expression significantly decreased after treatment."	2018/2/1	29448254	
hsa_circRNA_009024	N/A	N/A	TXLNGY	N/A	Tuberculosis	Upregulated	qRT-PCR etc.	Human	"Compared with healthy controls, hsa_circRNA_102101, hsa_circRNA_104964 and hsa_circRNA_104296 were significantly decreased, while hsa_circRNA_001937, hsa_circRNA_009024 and hsa_circRNA_005086 were overexpressed in TB patients. "	2018/2/1	29448254	
hsa_ circRNA_005086	N/A	N/A	RNF10	N/A	Tuberculosis	Upregulated	qRT-PCR etc.	Human	"Compared with healthy controls, hsa_circRNA_102101, hsa_circRNA_104964 and hsa_circRNA_104296 were significantly decreased, while hsa_circRNA_001937, hsa_circRNA_009024 and hsa_circRNA_005086 were overexpressed in TB patients. "	2018/2/1	29448254	
hsa_circRNA_102101	N/A	N/A	CDC27	N/A	Tuberculosis	Downregulated	qRT-PCR etc.	Human	"Compared with healthy controls, hsa_circRNA_102101, hsa_circRNA_104964 and hsa_circRNA_104296 were significantly decreased, while hsa_circRNA_001937, hsa_circRNA_009024 and hsa_circRNA_005086 were overexpressed in TB patients. "	2018/2/1	29448254	
hsa_circRNA_104964	N/A	N/A	DPH7	N/A	Tuberculosis	Downregulated	qRT-PCR etc.	Human	"Compared with healthy controls, hsa_circRNA_102101, hsa_circRNA_104964 and hsa_circRNA_104296 were significantly decreased, while hsa_circRNA_001937, hsa_circRNA_009024 and hsa_circRNA_005086 were overexpressed in TB patients. "	2018/2/1	29448254	
hsa_circRNA_104296	N/A	N/A	RNF216	N/A	Tuberculosis	Downregulated	qRT-PCR etc.	Human	"Compared with healthy controls, hsa_circRNA_102101, hsa_circRNA_104964 and hsa_circRNA_104296 were significantly decreased, while hsa_circRNA_001937, hsa_circRNA_009024 and hsa_circRNA_005086 were overexpressed in TB patients. "	2018/2/1	29448254	
circATP2B1/hsa_circ_000826/hsa_circ_0000426	chr12:90035934-90049884	-	ATP2B1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000426	Clear cell renal cell carcinoma	Downregulated	"qRT-PCR, ChIP, Luciferase reporter assays etc."	Human	"ER汕 promotes ccRCC cell invasion by altering the ER汕/circATP2B1/miR-204-3p/FN1 axis, and that therapeutic targeting of this newly identified pathway may better prevent ccRCC progression."	2018/2/1	29490945	
hsa_circ_0001649	chr6:146209155-146216113	-	SHPRH	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001649	Colorectal cancer	Downregulated	qRT-PCR etc.	Human	The expression level of hsa_circ_0001649 was down-regulated in CRC and could use it as a new biomarker for specific and sensitive inspection of CRC.	2018/2/1	29421663	
hsa_circ_0080210/circ-GRB10	chr7:50737418-50773020	-	GRB10	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0080210	Intervertebral disc degeneration	Downregulated	qRT-PCR etc.	Human	"circ-GRB10 facilitated the survival of NP cells during nutrient deprivation by upregulating ERBB2 expression through inactivating miR-328-5p, and possibly through a pathway involving mTOR. "	2018/2/1	29476072	
hsa_circ_0000284/circHIPK3	chr11:33307958-33309057	+	HIPK3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0000284	Hepatocellular carcinoma	Upregulated	"qRT-PCR, Western blot, Luciferase reporter assay etc."	Human	"circular RNA HIPK3 (circHIPK3) acted as a miR-124 sponge and regulated the expression of the miR-124 target gene AQP3. circHIPK3 was upregulated in HCC tissues and positively correlated with AQP3 expression. Thus, silencing circHIPK3 inhibited cell proliferation and migration by downregulating AQP3 expression. Moreover, miR-124 inhibition rescued circHIPK3 knockdown induced reduction in cell proliferation and migration, as well as AQP3 expression."	2018/2/1	29415990	
circSMARCA5/hsa_circ_0001445	chr4:144464661-144465125	+	SMARCA5	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001445	Glioblastoma multiforme	Downregulated	"qRT-PCR, Immunohistochemistry, Northern Blotting etc."	Human	circSMARCA5 as a promising druggable tumor suppressor in GBM and suggest that it may exert its function by tethering the RBP SRSF1.	2018/2/1	29415469	
hsa_circ_0014717	chr1:156290629-156304709	-	CCT3	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0014717	Colorectal cancer	Downregulated	qRT-PCR etc.	Human	"hsa_circ_0014717 acts as a potential tumor suppressor that inhibits CRC growth, partly at least, through upregulating p16 expression."	2018/2/1	29571246	
mmu_circRNA_017963	N/A	N/A	N/A	N/A	Alzheimer＊s disease	Downregulated	qRT-PCR etc.	Mouse	"The results showed that mmu_circRNA_017963 was strongly related with autophagosome assembly, exocytosis, apoptotic process, transport and RNA splicing and highly associated with synaptic vesicle cycle, spliceosome, glycosaminoglycan and SNARE interactions in vesicular transport pathways. Collectively, this study was the first to describe circRNAs expression in different ages of SAMP8 and will contribute to the understanding of the regulatory roles of circRNAs in AD pathogenesis and provide a valuable resource for the diagnosis and therapy of AD."	2018/2/1	29448241	
mmu_circRNA_003540	N/A	N/A	N/A	N/A	Alzheimer＊s disease	Upregulated	qRT-PCR etc.	Mouse	"The results of qPCR assay showed that five (mmu_circRNA_017963, mmu_circRNA_003540, mmu_circRNA_013699, mmu_circRNA_012180 and mmu_circRNA_006173) out of the six circRNAs significantly differed between the hippocampal tissues of 10-month-old SAMP8 and age-matched SAMR1 (P<0.05)"	2018/2/1	29448241	
mmu_circRNA_013699	N/A	N/A	N/A	N/A	Alzheimer＊s disease	Downregulated	qRT-PCR etc.	Mouse	"The results of qPCR assay showed that five (mmu_circRNA_017963, mmu_circRNA_003540, mmu_circRNA_013699, mmu_circRNA_012180 and mmu_circRNA_006173) out of the six circRNAs significantly differed between the hippocampal tissues of 10-month-old SAMP8 and age-matched SAMR1 (P<0.05)"	2018/2/1	29448241	
mmu_circRNA_012180	N/A	N/A	N/A	N/A	Alzheimer＊s disease	Upregulated	qRT-PCR etc.	Mouse	"The results of qPCR assay showed that five (mmu_circRNA_017963, mmu_circRNA_003540, mmu_circRNA_013699, mmu_circRNA_012180 and mmu_circRNA_006173) out of the six circRNAs significantly differed between the hippocampal tissues of 10-month-old SAMP8 and age-matched SAMR1 (P<0.05)"	2018/2/1	29448241	
mmu_circRNA_006173	N/A	N/A	N/A	N/A	Alzheimer＊s disease	Downregulated	qRT-PCR etc.	Mouse	"The results of qPCR assay showed that five (mmu_circRNA_017963, mmu_circRNA_003540, mmu_circRNA_013699, mmu_circRNA_012180 and mmu_circRNA_006173) out of the six circRNAs significantly differed between the hippocampal tissues of 10-month-old SAMP8 and age-matched SAMR1 (P<0.05)"	2018/2/1	29448241	
mmu_circRNA_006229	N/A	N/A	N/A	N/A	Alzheimer＊s disease	Upregulated	qRT-PCR etc.	Mouse	Unclear	2018/2/1	29448241	
circRNA-000284	N/A	N/A	N/A	N/A	Cervical cancer	Upregulated	"qRT-PCR, RNA FISH, Dual-luciferase reporter assay, Western blot etc."	Human	"Knockdown of circRNA-000284 suppressed cell proliferation and invasion, and caused G0/G1 phase cell cycle arrest. By performing anti-AGO2 RNA precipitation and luciferase reporter assay, we identified miR-506 as the circRNA-000284-associated miRNA. Furthermore, Snail-2 was identified as a direct target of miR-506, and circRNA-000284 could positively regulate the expression of Snail-2. Finally, the tumor promoting effect of circRNA-000284 was abolished by co-expression of miR-506 mimics or Snail-2 silencing vector."	2018/2/1	29511454	
hsa_circ_0014130	chr1:151206672-151212515	+	PIP5K1A	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0014130	Non-small cell lung cancer	Upregulated	qRT-PCR etc.	Human	"Gene oncology analysis and pathway analysis revealed that hsa_circ_0014130 could participate in NSCLC development. In summary, our findings indicated that hsa_circ_0014130 could be used as a potential NSCLC biomarker and might be closely related to the carcinogenesis of NSCLC."	2018/2/1	29440731	
hsa_circ_0016760	chr1:227935392-227947186	+	SNAP47	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0016760	Non-small cell lung cancer	Upregulated	qRT-PCR etc.	Human	Unclear	2018/2/1	29440731	
circPVT1/hsa_circ_0001821	chr8:128902834-128903244	+	PVT1	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0001821	Osteosarcoma	Upregulated	"qRT-PCR, CCK8 assay, Western blot etc."	Human	"circPVT1 was significantly up-regulated in the OS tissues, serums and chemoresistant cell lines, correlated with poor prognosis of OS patients. Besides, ROC curve demonstrated that circPVT1 may be a better diagnostic biomarker than alkaline phosphatase (ALP) in OS with more sensitivity and specificity. In addition, functional assays revealed that circPVT1 knockdown by siRNA could weaken the resistance to doxorubicin and cisplatin of OS cells through decreasing the expression of classical drug resistance-related gene ABCB1. These findings may provide a new insight into the role of circPVT1 as a biomarker for the diagnosis and treatment target of OS."	2018/2/1	29559849	
hsa_circ_0109046	chr19:12057995-12061434	+	ZNF700	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0109046	Endometrial cancer	Upregulated	qPCR etc.	Human	The RT-qPCR results showed that the expression level of hsa circ 0109046 (p = 0.01; Figure 4A) and hsa circ 0002577 (p < 0.01; Figure 4B) was higher in EVs from serum of patients with endometrial cancer than those from healthy controls.	2018/2/1	29334253	
hsa_circ_0002577	chr1:224599128-224607317	-	WDR26	http://www.circbase.org/cgi-bin/singlerecord.cgi?id=hsa_circ_0002577	Endometrial cancer	Upregulated	qPCR etc.	Human	The RT-qPCR results showed that the expression level of hsa circ 0109046 (p = 0.01; Figure 4A) and hsa circ 0002577 (p < 0.01; Figure 4B) was higher in EVs from serum of patients with endometrial cancer than those from healthy controls.	2018/2/1	29334253	
